Rank,Player,RUSHING ATT,RUSHING YDS,RUSHING Y/A,RUSHING LG,RUSHING 20+,RUSHING TD,RECEIVING REC,RECEIVING TGT,RECEIVING YDS,RECEIVING Y/R,RECEIVING TD,MISC FL,MISC G,MISC FPTS,MISC FPTS/G,MISC ROST,year,position
8,Rudi Johnson (FA),337,1458,4.3,33,0,12,23,0,90,3.9,0,0,16,226.8,14.2,0.0%,2005,rb
9,Thomas Jones (FA),314,1335,4.3,42,0,9,26,5,143,5.5,0,1,15,199.8,13.3,0.0%,2005,rb
10,Mike Anderson (FA),239,1014,4.2,44,0,12,18,2,212,11.8,1,1,15,198.6,13.2,0.0%,2005,rb
11,Steven Jackson (FA),254,1046,4.1,51,0,8,43,2,320,7.4,2,0,15,196.6,13.1,0.0%,2005,rb
12,Warrick Dunn (FA),280,1416,5.1,65,0,3,29,1,220,7.6,1,0,16,187.6,11.7,0.0%,2005,rb
13,Willis McGahee (FA),325,1247,3.8,27,0,5,28,0,178,6.4,0,0,16,172.5,10.8,0.0%,2005,rb
14,Reuben Droughns (FA),309,1232,4.0,75,0,2,39,0,369,9.5,0,0,16,172.1,10.8,0.0%,2005,rb
15,Willie Parker (FA),255,1202,4.7,80,0,4,18,5,218,12.1,1,0,15,172.0,11.5,0.0%,2005,rb
16,Corey Dillon (FA),209,733,3.5,29,0,12,22,0,181,8.2,1,0,11,169.4,15.4,0.0%,2005,rb
17,Domanick Williams (FA),230,976,4.2,44,0,2,39,4,337,8.6,4,0,11,167.3,15.2,0.0%,2005,rb
18,Brian Westbrook (FA),156,617,4.0,31,0,3,61,0,616,10.1,4,0,12,167.3,13.9,0.0%,2005,rb
19,Cadillac Williams (FA),290,1178,4.1,71,0,6,20,3,81,4.1,0,0,14,161.9,11.6,0.0%,2005,rb
20,Chris Brown (FA),224,851,3.8,38,0,5,25,0,327,13.1,2,0,15,159.8,10.7,0.0%,2005,rb
21,Tatum Bell (FA),173,921,5.3,68,0,8,18,0,104,5.8,0,0,14,150.5,10.8,0.0%,2005,rb
22,Ronnie Brown (FA),207,907,4.4,65,0,4,32,0,232,7.3,1,0,15,143.9,9.6,0.0%,2005,rb
23,DeShaun Foster (FA),205,879,4.3,70,0,2,34,0,372,10.9,1,0,15,143.1,9.5,0.0%,2005,rb
24,Jamal Lewis (FA),269,906,3.4,25,0,3,32,0,191,6.0,1,1,15,131.7,8.8,0.0%,2005,rb
25,Stephen Davis (FA),180,549,3.1,39,0,12,5,0,45,9.0,0,0,13,131.4,10.1,0.0%,2005,rb
26,Ricky Williams (FA),168,743,4.4,35,0,6,17,0,93,5.5,0,0,12,119.6,10.0,0.0%,2005,rb
27,Mewelde Moore (FA),155,662,4.3,33,0,1,37,0,339,9.2,2,0,16,118.1,7.4,0.0%,2005,rb
28,Curtis Martin (FA),220,735,3.3,49,0,5,24,3,118,4.9,0,0,12,115.3,9.6,0.0%,2005,rb
29,Sam Gado (FA),143,582,4.1,64,0,6,10,1,77,7.7,1,0,8,107.9,13.5,0.0%,2005,rb
30,Kevin Jones (FA),186,664,3.6,40,0,5,20,7,109,5.5,0,0,13,107.3,8.3,0.0%,2005,rb
