Rank,Player,RECEIVING REC,RECEIVING TGT,RECEIVING YDS,RECEIVING Y/R,RECEIVING LG,RECEIVING 20+,RECEIVING TD,RUSHING ATT,RUSHING YDS,RUSHING TD,MISC FL,MISC G,MISC FPTS,MISC FPTS/G,MISC ROST,year,position
99,Casey Cramer (FA),2,0,8,4.0,6,0,0,0,0,0,0,10,0.8,0.1,0.0%,2006,te
100,Doug Jolley (FA),1,0,7,7.0,7,0,0,0,0,0,0,1,0.7,0.7,0.0%,2006,te
101,Cooper Wallace (FA),1,0,6,6.0,6,0,0,0,0,0,0,1,0.6,0.6,0.0%,2006,te
102,Brian Kozlowski (FA),1,0,1,1.0,1,0,0,0,0,0,0,1,0.1,0.1,0.0%,2006,te
103,Kevin Everett (FA),1,0,1,1.0,1,0,0,0,0,0,0,5,0.1,0.0,0.0%,2006,te
104,Kendall Gammon (FA),0,0,0,0.0,0,0,0,0,0,0,0,3,0.0,0.0,0.0%,2006,te
105,Mike Bartrum (FA),0,0,0,0.0,0,0,0,0,0,0,0,4,0.0,0.0,0.0%,2006,te
106,Tim Massaquoi (FA),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2006,te
107,Zac Alcorn (FA),0,0,0,0.0,0,0,0,0,0,0,0,2,0.0,0.0,0.0%,2006,te
108,Bennie Joppru (FA),0,0,0,0.0,0,0,0,0,0,0,0,3,0.0,0.0,0.0%,2006,te
109,Mike Leach (FA),0,0,0,0.0,0,0,0,0,0,0,0,15,0.0,0.0,0.0%,2006,te
110,Tory Humphrey (FA),0,0,0,0.0,0,0,0,0,0,0,0,3,0.0,0.0,0.0%,2006,te
111,Billy Bajema (FA),0,0,0,0.0,0,0,0,0,0,0,0,16,0.0,0.0,0.0%,2006,te
112,Brian Jennings (FA),0,0,0,0.0,0,0,0,0,0,0,0,16,0.0,0.0,0.0%,2006,te
1,Jason Witten (FA),96,0,1145,11.9,53,0,7,0,0,0,0,16,156.5,9.8,0.0%,2007,te
2,Antonio Gates (FA),75,11,984,13.1,49,0,9,0,0,0,0,16,152.4,9.5,0.2%,2007,te
3,Tony Gonzalez (FA),99,13,1172,11.8,31,0,5,0,0,0,0,16,147.2,9.2,0.0%,2007,te
4,Kellen Winslow (FA),82,16,1106,13.5,49,0,5,0,0,0,0,16,140.6,8.8,0.0%,2007,te
5,Dallas Clark (FA),58,0,616,10.6,39,0,11,2,29,0,0,15,130.5,8.7,0.0%,2007,te
6,Heath Miller (FA),47,0,566,12.0,29,0,7,0,0,0,0,16,98.6,6.2,0.0%,2007,te
7,Owen Daniels (FA),63,13,768,12.2,29,0,3,0,0,0,1,16,92.8,5.8,0.0%,2007,te
8,Tony Scheffler (FA),49,0,549,11.2,41,0,5,0,0,0,0,16,84.9,5.3,0.0%,2007,te
9,Benjamin Watson (FA),36,0,389,10.8,35,0,6,1,11,0,0,12,76.0,6.3,2.8%,2007,te
10,Vernon Davis (FA),52,2,509,9.8,31,0,4,0,0,0,0,14,74.9,5.4,1.6%,2007,te
11,Zach Miller (FA),44,0,444,10.1,28,0,3,0,0,0,0,16,62.4,3.9,0.0%,2007,te
12,Chris Cooley (FA),27,0,277,10.3,28,0,5,0,0,0,0,8,59.7,7.5,0.0%,2007,te
13,Alex Smith (FA),32,5,385,12.0,33,0,3,0,0,0,0,14,56.5,4.0,0.0%,2007,te
14,Jeff King (FA),46,19,406,8.8,29,0,2,0,0,0,0,16,52.6,3.3,0.0%,2007,te
15,Jerry Porter (FA),19,0,332,17.5,59,0,3,0,0,0,0,8,51.2,6.4,0.0%,2007,te
16,Greg Olsen (FA),39,0,391,10.0,31,0,2,0,0,0,0,14,51.1,3.7,7.0%,2007,te
17,Marcedes Lewis (FA),37,0,391,10.6,25,0,2,0,0,0,0,16,51.1,3.2,0.0%,2007,te
18,Jeremy Shockey (FA),31,0,358,11.5,27,0,2,1,6,0,0,8,48.4,6.1,0.0%,2007,te
19,Donald Lee (FA),29,0,382,13.2,60,0,1,0,0,0,0,8,44.2,5.5,0.0%,2007,te
20,Desmond Clark (FA),28,0,322,11.5,52,0,2,0,0,0,0,8,44.2,5.5,0.0%,2007,te
21,Eric Johnson (FA),34,5,250,7.4,22,0,1,0,0,0,0,8,31.0,3.9,0.0%,2007,te
22,Randy McMichael (FA),19,0,248,13.1,29,0,1,0,0,0,0,8,30.8,3.9,0.0%,2007,te
23,Chris Baker (FA),17,3,177,10.4,18,0,2,0,0,0,0,8,29.7,3.7,0.0%,2007,te
24,Mike Sellers (FA),13,0,82,6.3,24,0,1,21,74,1,0,8,27.6,3.5,0.0%,2007,te
25,Bobby Wade (FA),24,12,284,11.8,40,0,0,1,-9,0,0,8,27.5,3.4,0.0%,2007,te
26,Justin Peelle (FA),17,0,149,8.8,35,0,2,0,0,0,0,7,26.9,3.8,0.0%,2007,te
